,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-0.066,0.135,-0.311,0.182,0.003,0.006,3594.0,2561.0,1.0
mu_beta,-0.776,0.648,-1.911,0.539,0.008,0.008,7064.0,5501.0,1.0
alpha[0],-0.025,0.071,-0.157,0.105,0.001,0.001,5415.0,5780.0,1.0
alpha[1],-0.016,0.079,-0.16,0.136,0.001,0.001,6058.0,5529.0,1.0
alpha[2],-0.214,0.07,-0.349,-0.086,0.001,0.001,3584.0,3162.0,1.0
alpha[3],-0.015,0.09,-0.174,0.162,0.001,0.001,5573.0,5610.0,1.0
beta[0],-0.788,0.094,-0.962,-0.612,0.001,0.001,6010.0,5620.0,1.0
beta[1],-0.344,1.095,-2.383,1.719,0.015,0.012,5355.0,4711.0,1.0
beta[2],-3.647,0.753,-5.022,-2.181,0.011,0.009,4682.0,4847.0,1.0
beta[3],-0.046,0.505,-1.037,0.869,0.007,0.005,5852.0,5662.0,1.0
sigma_alpha,0.208,0.172,0.02,0.496,0.004,0.006,1713.0,988.0,1.0
sigma_beta,1.537,0.484,0.703,2.488,0.007,0.006,4412.0,3735.0,1.0
sigma,0.525,0.025,0.482,0.576,0.0,0.0,7935.0,5676.0,1.0
